caption,rating,url_user
"3 words: Oh my God! Beautiful view, prices are correct. Excellent food and cocktails...now one of my favorite rooftop.",5,https://www.google.com/maps/contrib/109149010853460820548/reviews?hl=en-LU
"A beautiful bar set with an incredible panoramic views across London. Service is great! Evelina was so lovely and recommended us the best drinks. Menu is great, prices are not that bad!",5,https://www.google.com/maps/contrib/110623090895330455653/reviews?hl=en-LU
"A fun spot for drinks with a view. The cocktails are really nice, though service is quite slow. Definitely go at least once for the experience! The sunset is stunning.",4,https://www.google.com/maps/contrib/103436998164707056291/reviews?hl=en-LU
A Great Evening Out !,5,https://www.google.com/maps/contrib/117568786905569548628/reviews?hl=en-LU
"A great place for an amazing dining experience! Highly recommended.  ...Breakfast, on the other hand, was too expensive for what it was.",5,https://www.google.com/maps/contrib/116673732718743718728/reviews?hl=en-LU
A great view and a great place for a relaxing drink. Recommended!,5,https://www.google.com/maps/contrib/114264161674492438771/reviews?hl=en-LU
"A great view over Canary Wharf and East London, Staff were friendly helpful & polite.",5,https://www.google.com/maps/contrib/110353625533333842388/reviews?hl=en-LU
A high-end bar and resto at the top of the Novotel hotel in Canary Wharf. Food and service were excellent and the view isn't bad either!,5,https://www.google.com/maps/contrib/102494278355645857062/reviews?hl=en-LU
"A perfect restaurant, cocktail & Bar to have  a fantastic drink or dinner in London sky (37-39 floors) looking to Central City. Totally recommended and balanced price&quality. Canary Wharf views as well, very well communicated and nice facilities.",5,https://www.google.com/maps/contrib/112039329979808876640/reviews?hl=en-LU
A rooftop bar with one of the best views of the London Skyline. Really good vibes and the staff are always willing to do anything to make your stay with them as comfortable as possible. I like the music there as well without is a blend of pop and techno. The only downside is there is limited parking in the area around the side streets.,5,https://www.google.com/maps/contrib/117080739278237972249/reviews?hl=en-LU
A very good rooftop bar with very decent prices.,5,https://www.google.com/maps/contrib/106167884830202489838/reviews?hl=en-LU
• Contemporary Bar • Awesome Views • Must Visit •  Great view from Bōkan 38 bar of the ALL NEW ‘Harbour Central’ x7 tower development on the south east view.  Awesome place to have working lunches as we were with our clients from Galliard …,5,https://www.google.com/maps/contrib/101299286204854571799/reviews?hl=en-LU
"Absolutely exceeded our expectations. The staff were all wonderful and seemed genuinely happy to work there. The food, drinks, ambience, and of course the view were all fantastic. We really couldn't fault it and can't wait to go back. The view is just brilliant and takes in the whole city, even in the bathrooms!",5,https://www.google.com/maps/contrib/115135605816551152534/reviews?hl=en-LU
Absolutely love Bokan and the view!,4,https://www.google.com/maps/contrib/113140542453845199188/reviews?hl=en-LU
"Absolutely stunning view. Worth visiting just for that alone. Furthermore, the place was quite upscale and the wait time was adequate. I would recommend a reservation for one of these tables with the best view!",5,https://www.google.com/maps/contrib/106066428896298811028/reviews?hl=en-LU
